camera_id,url_image,road,km,latitude,longitude
2,http://infocar.dgt.es/etraffic/data/camaras/2.jpg,A-62,57.9,42.0676,-4.2227
3,http://infocar.dgt.es/etraffic/data/camaras/3.jpg,A-62,78.5,41.9811,-4.4348
4,http://infocar.dgt.es/etraffic/data/camaras/4.jpg,A-62,87.9,41.9227,-4.5063
5,http://infocar.dgt.es/etraffic/data/camaras/5.jpg,A-62,96.3,41.8563,-4.5531
6,http://infocar.dgt.es/etraffic/data/camaras/6.jpg,A-62,118.3,41.7026,-4.7118
7,http://infocar.dgt.es/etraffic/data/camaras/7.jpg,A-62,120.7,41.6845,-4.7298
8,http://infocar.dgt.es/etraffic/data/camaras/8.jpg,A-62,121.75,41.6783,-4.7399
10,http://infocar.dgt.es/etraffic/data/camaras/10.jpg,A-62,125.05,41.661,-4.76
11,http://infocar.dgt.es/etraffic/data/camaras/11.jpg,A-62,127.05,41.6439,-4.7673
12,http://infocar.dgt.es/etraffic/data/camaras/12.jpg,A-62,128.25,41.6348,-4.7766
13,http://infocar.dgt.es/etraffic/data/camaras/13.jpg,A-62,131.1,41.6131,-4.7956
14,http://infocar.dgt.es/etraffic/data/camaras/14.jpg,A-62,133.34,41.6006,-4.8167
15,http://infocar.dgt.es/etraffic/data/camaras/15.jpg,A-62,151.3,41.506,-4.9853
16,http://infocar.dgt.es/etraffic/data/camaras/16.jpg,A-62,154.1,41.5122,-5.0153
17,http://infocar.dgt.es/etraffic/data/camaras/17.jpg,A-62,156.8,41.4899,-5.0231
18,http://infocar.dgt.es/etraffic/data/camaras/18.jpg,A-6,126.68,41.0709,-4.7144
19,http://infocar.dgt.es/etraffic/data/camaras/19.jpg,A-6,156.2,41.294,-4.9017
20,http://infocar.dgt.es/etraffic/data/camaras/20.jpg,A-6,161.3,41.3307,-4.9291
21,http://infocar.dgt.es/etraffic/data/camaras/21.jpg,A-6,179.1,41.4806,-4.9903
22,http://infocar.dgt.es/etraffic/data/camaras/22.jpg,A-6,188.55,41.536,-5.064
23,http://infocar.dgt.es/etraffic/data/camaras/23.jpg,A-6,208.1,41.6702,-5.199
24,http://infocar.dgt.es/etraffic/data/camaras/24.jpg,A-6,212.75,41.7043,-5.2289
25,http://infocar.dgt.es/etraffic/data/camaras/25.jpg,A-6,236.3,41.8562,-5.4225
26,http://infocar.dgt.es/etraffic/data/camaras/26.jpg,A-6,257.84,41.9809,-5.616
27,http://infocar.dgt.es/etraffic/data/camaras/27.jpg,A-6,263.55,42.0167,-5.6665
28,http://infocar.dgt.es/etraffic/data/camaras/28.jpg,A-6,268.37,42.0581,-5.6806
29,http://infocar.dgt.es/etraffic/data/camaras/29.jpg,A-6,297.9,42.2716,-5.8626
30,http://infocar.dgt.es/etraffic/data/camaras/30.jpg,A-6,323.7,42.4369,-6.0499
31,http://infocar.dgt.es/etraffic/data/camaras/31.jpg,A-231,20.19,42.4445,-5.3786
32,http://infocar.dgt.es/etraffic/data/camaras/32.jpg,A-231,105.6,42.4042,-4.3891
33,http://infocar.dgt.es/etraffic/data/camaras/33.jpg,A-52,49.75,42.0057,-6.2548
34,http://infocar.dgt.es/etraffic/data/camaras/34.jpg,A-52,77.1,42.0549,-6.5794
35,http://infocar.dgt.es/etraffic/data/camaras/35.jpg,A-52,97.082,42.0399,-6.8043
36,http://infocar.dgt.es/etraffic/data/camaras/36.jpg,A-52,99.253,42.0325,-6.8276
37,http://infocar.dgt.es/etraffic/data/camaras/37.jpg,A-52,110.95,42.0389,-6.9615
40,http://infocar.dgt.es/etraffic/data/camaras/40.jpg,A-1,123.05,41.3814,-3.6448
41,http://infocar.dgt.es/etraffic/data/camaras/41.jpg,A-1,133.9,41.4706,-3.6838
42,http://infocar.dgt.es/etraffic/data/camaras/42.jpg,A-1,141.82,41.5336,-3.716
43,http://infocar.dgt.es/etraffic/data/camaras/43.jpg,A-1,151.59,41.6181,-3.69
44,http://infocar.dgt.es/etraffic/data/camaras/44.jpg,A-1,157.44,41.6646,-3.7286
45,http://infocar.dgt.es/etraffic/data/camaras/45.jpg,A-1,166.125,41.7366,-3.6886
46,http://infocar.dgt.es/etraffic/data/camaras/46.jpg,A-1,194.75,41.9702,-3.7783
48,http://infocar.dgt.es/etraffic/data/camaras/48.jpg,A-2,246.0,41.39576,-1.54675
49,http://infocar.dgt.es/etraffic/data/camaras/49.jpg,A-1,209.625,42.0925,-3.7272
50,http://infocar.dgt.es/etraffic/data/camaras/50.jpg,A-1,225.15,42.2251,-3.7045
51,http://infocar.dgt.es/etraffic/data/camaras/51.jpg,A-1,230.25,42.2687,-3.6991
52,http://infocar.dgt.es/etraffic/data/camaras/52.jpg,A-2,251.8,41.41332,-1.52624
53,http://infocar.dgt.es/etraffic/data/camaras/53.jpg,A-2,254.9,41.41543,-1.49893
54,http://infocar.dgt.es/etraffic/data/camaras/54.jpg,A-2,257.3,41.43225,-1.48873
55,http://infocar.dgt.es/etraffic/data/camaras/55.jpg,A-2,258.1,41.43635,-1.48264
56,http://infocar.dgt.es/etraffic/data/camaras/56.jpg,A-2,298.0,41.57771,-1.10999
57,http://infocar.dgt.es/etraffic/data/camaras/57.jpg,A-1,232.29,42.2865,-3.7047
58,http://infocar.dgt.es/etraffic/data/camaras/58.jpg,A-2,300.27,41.58858,-1.08806
60,http://infocar.dgt.es/etraffic/data/camaras/60.jpg,A-2,310.75,41.62988,-0.99004
61,http://infocar.dgt.es/etraffic/data/camaras/61.jpg,A-2,312.1,41.63565,-0.97319
62,http://infocar.dgt.es/etraffic/data/camaras/62.jpg,A-2,316.79,41.66618,-0.93756
63,http://infocar.dgt.es/etraffic/data/camaras/63.jpg,A-2,318.08,41.67542,-0.92806
64,http://infocar.dgt.es/etraffic/data/camaras/64.jpg,A-2,319.065,41.68106,-0.91883
65,http://infocar.dgt.es/etraffic/data/camaras/65.jpg,A-2,320.7,41.68034,-0.89864
66,http://infocar.dgt.es/etraffic/data/camaras/66.jpg,A-1,238.376,42.3258,-3.6726
67,http://infocar.dgt.es/etraffic/data/camaras/67.jpg,A-2,322.415,41.67952,-0.87853
68,http://infocar.dgt.es/etraffic/data/camaras/68.jpg,A-2,322.56,41.6806,-0.87672
69,http://infocar.dgt.es/etraffic/data/camaras/69.jpg,A-2,324.55,41.67882,-0.85356
70,http://infocar.dgt.es/etraffic/data/camaras/70.jpg,A-2,326.04,41.67582,-0.83551
71,http://infocar.dgt.es/etraffic/data/camaras/71.jpg,A-2,330.93,41.6584,-0.78162
72,http://infocar.dgt.es/etraffic/data/camaras/72.jpg,A-1,242.4,42.333,-3.6261
73,http://infocar.dgt.es/etraffic/data/camaras/73.jpg,N-232,245.353,41.67298,-0.95072
74,http://infocar.dgt.es/etraffic/data/camaras/74.jpg,N-232,247.41,41.68476,-0.96962
75,http://infocar.dgt.es/etraffic/data/camaras/75.jpg,N-232,249.6,41.69667,-0.99167
76,http://infocar.dgt.es/etraffic/data/camaras/76.jpg,BU-30,25.67,42.36805448,-3.63919459
77,http://infocar.dgt.es/etraffic/data/camaras/77.jpg,A-68,255.653,41.72882,-1.04755
78,http://infocar.dgt.es/etraffic/data/camaras/78.jpg,A-1,252.15,42.3792,-3.5899
79,http://infocar.dgt.es/etraffic/data/camaras/79.jpg,N-1,259.93,42.4433,-3.4906
80,http://infocar.dgt.es/etraffic/data/camaras/80.jpg,N-330,504.755,41.69278,-0.87028
81,http://infocar.dgt.es/etraffic/data/camaras/81.jpg,N-330,509.225,41.72961,-0.85045
82,http://infocar.dgt.es/etraffic/data/camaras/82.jpg,A-23,301.57,41.761,-0.83366
83,http://infocar.dgt.es/etraffic/data/camaras/83.jpg,A-23,317.0,41.88014,-0.77603
84,http://infocar.dgt.es/etraffic/data/camaras/84.jpg,BU-30,4.7,42.3034,-3.7533
85,http://infocar.dgt.es/etraffic/data/camaras/85.jpg,A-23,332.7,41.99374,-0.66717
87,http://infocar.dgt.es/etraffic/data/camaras/87.jpg,A-23,362.1,42.15985,-0.42187
88,http://infocar.dgt.es/etraffic/data/camaras/88.jpg,A-23,385.8,42.35562,-0.39239
89,http://infocar.dgt.es/etraffic/data/camaras/89.jpg,A-62,15.78,42.2997,-3.8354
90,http://infocar.dgt.es/etraffic/data/camaras/90.jpg,N-330,630.2,42.53477,-0.37048
91,http://infocar.dgt.es/etraffic/data/camaras/91.jpg,N-240,158.05,42.02139,0.13611
92,http://infocar.dgt.es/etraffic/data/camaras/92.jpg,N-330,492.15,41.62273,-0.91272
93,http://infocar.dgt.es/etraffic/data/camaras/93.jpg,N-330,488.35,41.59595,-0.93992
95,http://infocar.dgt.es/etraffic/data/camaras/95.jpg,A-23,18.6,39.78005278,-0.39301111
96,http://infocar.dgt.es/etraffic/data/camaras/96.jpg,A-23,27.0,39.82926389,-0.46426944
97,http://infocar.dgt.es/etraffic/data/camaras/97.jpg,A-3,186.63,39.48775556,-2.15573889
98,http://infocar.dgt.es/etraffic/data/camaras/98.jpg,A-3,211.949,39.53493056,-1.90127778
99,http://infocar.dgt.es/etraffic/data/camaras/99.jpg,A-3,232.2,39.50992778,-1.67409167
100,http://infocar.dgt.es/etraffic/data/camaras/100.jpg,A-3,242.149,39.52940556,-1.56671111
101,http://infocar.dgt.es/etraffic/data/camaras/101.jpg,A-3,246.75,39.54304722,-1.520225
102,http://infocar.dgt.es/etraffic/data/camaras/102.jpg,A-3,248.899,39.54895833,-1.49656667
103,http://infocar.dgt.es/etraffic/data/camaras/103.jpg,A-3,255.399,39.527875,-1.43240556
104,http://infocar.dgt.es/etraffic/data/camaras/104.jpg,A-3,277.45,39.55528889,-1.19120556
105,http://infocar.dgt.es/etraffic/data/camaras/105.jpg,A-3,285.2,39.51153333,-1.12828333
106,http://infocar.dgt.es/etraffic/data/camaras/106.jpg,A-3,291.899,39.48403333,-1.06140833
107,http://infocar.dgt.es/etraffic/data/camaras/107.jpg,A-3,296.329,39.47154444,-1.01355278
108,http://infocar.dgt.es/etraffic/data/camaras/108.jpg,A-3,306.5,39.455925,-0.90285278
109,http://infocar.dgt.es/etraffic/data/camaras/109.jpg,A-3,316.799,39.42888611,-0.7998
110,http://infocar.dgt.es/etraffic/data/camaras/110.jpg,A-3,323.45,39.45214444,-0.73214167
111,http://infocar.dgt.es/etraffic/data/camaras/111.jpg,A-3,331.75,39.47336111,-0.645675
112,http://infocar.dgt.es/etraffic/data/camaras/112.jpg,A-3,336.6,39.47387778,-0.58961667
113,http://infocar.dgt.es/etraffic/data/camaras/113.jpg,A-3,341.799,39.4713,-0.53182778
114,http://infocar.dgt.es/etraffic/data/camaras/114.jpg,A-3,345.7,39.47512222,-0.48474444
115,http://infocar.dgt.es/etraffic/data/camaras/115.jpg,A-3,348.2,39.48198056,-0.45796389
116,http://infocar.dgt.es/etraffic/data/camaras/116.jpg,A-3,351.6,39.47039,-0.42516
117,http://infocar.dgt.es/etraffic/data/camaras/117.jpg,A-30,89.6,38.314975,-1.48742222
118,http://infocar.dgt.es/etraffic/data/camaras/118.jpg,A-30,100.1,38.24822778,-1.41260833
119,http://infocar.dgt.es/etraffic/data/camaras/119.jpg,A-30,111.6,38.18549167,-1.322825
120,http://infocar.dgt.es/etraffic/data/camaras/120.jpg,A-30,121.0,38.124025,-1.25360556
121,http://infocar.dgt.es/etraffic/data/camaras/121.jpg,A-30,124.45,38.10073056,-1.23187222
122,http://infocar.dgt.es/etraffic/data/camaras/122.jpg,A-30,128.5,38.0725,-1.20309722
123,http://infocar.dgt.es/etraffic/data/camaras/123.jpg,A-31,34.45,39.22581111,-2.18776667
124,http://infocar.dgt.es/etraffic/data/camaras/124.jpg,A-31,155.6,38.84705556,-1.01422222
125,http://infocar.dgt.es/etraffic/data/camaras/125.jpg,A-31,170.8,38.73173611,-0.93918333
126,http://infocar.dgt.es/etraffic/data/camaras/126.jpg,A-31,182.45,38.64548333,-0.86620278
127,http://infocar.dgt.es/etraffic/data/camaras/127.jpg,A-31,202.05,38.49052778,-0.77844444
128,http://infocar.dgt.es/etraffic/data/camaras/128.jpg,A-31,215.7,38.39228333,-0.74524722
129,http://infocar.dgt.es/etraffic/data/camaras/129.jpg,A-31,224.05,38.35149722,-0.66868056
130,http://infocar.dgt.es/etraffic/data/camaras/130.jpg,A-31,233.7,38.34485,-0.564225
131,http://infocar.dgt.es/etraffic/data/camaras/131.jpg,A-35,11.85,38.82666389,-0.89239722
132,http://infocar.dgt.es/etraffic/data/camaras/132.jpg,A-35,37.0,38.94300833,-0.64393889
133,http://infocar.dgt.es/etraffic/data/camaras/133.jpg,A-35,42.599,38.97911944,-0.60088889
134,http://infocar.dgt.es/etraffic/data/camaras/134.jpg,A-35,44.3,38.98895833,-0.58644722
135,http://infocar.dgt.es/etraffic/data/camaras/135.jpg,A-7,306.9,39.63250278,-0.30326667
136,http://infocar.dgt.es/etraffic/data/camaras/136.jpg,A-7,311.5,39.60925833,-0.34463056
137,http://infocar.dgt.es/etraffic/data/camaras/137.jpg,A-7,315.35,39.58895,-0.38313056
138,http://infocar.dgt.es/etraffic/data/camaras/138.jpg,A-7,321.2,39.55815556,-0.43088056
139,http://infocar.dgt.es/etraffic/data/camaras/139.jpg,A-7,324.08,39.53983889,-0.45343889
140,http://infocar.dgt.es/etraffic/data/camaras/140.jpg,A-7,327.0,39.52108333,-0.47518889
141,http://infocar.dgt.es/etraffic/data/camaras/141.jpg,A-7,330.4,39.50828889,-0.50932222
142,http://infocar.dgt.es/etraffic/data/camaras/142.jpg,A-7,336.1,39.47239722,-0.54955556
143,http://infocar.dgt.es/etraffic/data/camaras/143.jpg,A-7,340.9,39.43598333,-0.53665
144,http://infocar.dgt.es/etraffic/data/camaras/144.jpg,A-7,343.785,39.41709722,-0.5093
145,http://infocar.dgt.es/etraffic/data/camaras/145.jpg,A-7,348.0,39.38685,-0.47769444
146,http://infocar.dgt.es/etraffic/data/camaras/146.jpg,A-7,350.8,39.37121944,-0.45416667
147,http://infocar.dgt.es/etraffic/data/camaras/147.jpg,A-7,514.2,38.29456944,-0.68566944
148,http://infocar.dgt.es/etraffic/data/camaras/148.jpg,A-7,517.8,38.28464722,-0.72424722
149,http://infocar.dgt.es/etraffic/data/camaras/149.jpg,A-7,523.0,38.25449444,-0.76288611
150,http://infocar.dgt.es/etraffic/data/camaras/150.jpg,A-7,529.5,38.21669167,-0.81850278
151,http://infocar.dgt.es/etraffic/data/camaras/151.jpg,A-7,535.35,38.17559444,-0.85985556
152,http://infocar.dgt.es/etraffic/data/camaras/152.jpg,A-7,541.25,38.15214167,-0.91614722
153,http://infocar.dgt.es/etraffic/data/camaras/153.jpg,A-7,546.9,38.12278333,-0.96708889
154,http://infocar.dgt.es/etraffic/data/camaras/154.jpg,A-7,555.8,38.09418889,-1.05913889
155,http://infocar.dgt.es/etraffic/data/camaras/155.jpg,A-7,571.95,37.99976667,-1.18871667
156,http://infocar.dgt.es/etraffic/data/camaras/156.jpg,A-7,563.4,38.04914444,-1.12044722
157,http://infocar.dgt.es/etraffic/data/camaras/157.jpg,A-7,567.1,38.03036111,-1.15508056
158,http://infocar.dgt.es/etraffic/data/camaras/158.jpg,A-70,17.6,38.33986111,-0.54461111
159,http://infocar.dgt.es/etraffic/data/camaras/159.jpg,A-70,22.4,38.30689444,-0.57666389
167,http://infocar.dgt.es/etraffic/data/camaras/167.jpg,CV-500,0.5,39.4287,-0.34130556
168,http://infocar.dgt.es/etraffic/data/camaras/168.jpg,CV-500,0.75,39.42658333,-0.34181667
169,http://infocar.dgt.es/etraffic/data/camaras/169.jpg,CV-500,2.9,39.40774444,-0.33716111
170,http://infocar.dgt.es/etraffic/data/camaras/170.jpg,CV-500,4.9,39.38999722,-0.33471944
171,http://infocar.dgt.es/etraffic/data/camaras/171.jpg,CV-500,6.5,39.37653056,-0.33154444
172,http://infocar.dgt.es/etraffic/data/camaras/172.jpg,A-7,393.75,39.02635556,-0.55175833
173,http://infocar.dgt.es/etraffic/data/camaras/173.jpg,A-7,391.25,39.04752778,-0.54910833
174,http://infocar.dgt.es/etraffic/data/camaras/174.jpg,A-7,373.3,39.19373611,-0.49496111
175,http://infocar.dgt.es/etraffic/data/camaras/175.jpg,A-7,357.05,39.32490278,-0.43554167
176,http://infocar.dgt.es/etraffic/data/camaras/176.jpg,V-21,5.1,39.58636111,-0.29431111
177,http://infocar.dgt.es/etraffic/data/camaras/177.jpg,V-21,8.95,39.55166667,-0.29722778
