camera_id,name,url_image,road,km,location_info,latitude,longitude
75,CCTV 232 - Cámara DOMO 232,,N - 637,016+500,Cruces,4792953.64,507650.15
76,DOMO 233,,N - 637,011+000,Cruces,4794032.11,502765.43
77,CCTV 300 - Cámara DOMO nudo Kukularra,http://www.bizkaimove.com/camaras/cam1.jpg,BI-637,008+500,Kurtzes,4794665.86,503178.8
78,CCTV 301 - Curvas de Kukularra,,BI-637,009+200,Kukularra,4795334.63,502951.74
79,CCTV 302 - Avanzada,http://www.bizkaimove.com/camaras/cam3.jpg,BI-637,010+000,Kukularra,4795927.48,502499.74
80,CCTV 303 - Entrada Túnel Leioa (dir. Getxo),http://www.bizkaimove.com/camaras/cam13.jpg,BI-637,011+650,Kurtzes,4796823.02,501285.9
81,CCTV 304 - DOMO La Avanzada túnel largo,,BI-637,011+920,Kurtzes,4796989.22,501024.97
82,CCTV 305 - DOMO La Avanzada túnel del medio,,BI-637,012+280,Kurtzes,4797162.77,500777.67
83,CCTV 306 - Tunel de Artaza Domo,,BI-637,013+200,Kukularra,4797803.85,499912.45
84,CCTV 309 - Salida Túnel Leioa (dir. Getxo),,BI-637,012+690,Kurtzes,4797449.7,500397.9
85,CCTV 312 - Rotonda Artaza,http://www.bizkaimove.com/camaras/cam5.jpg,BI-637,013+500,Kurtzes,4797816.62,499855.46
86,CCTV 313 - Salida Artea,,BI-637,014+000,Kurtzes,4798943.94,500232.54
87,CCTV 314 - Artea,http://www.bizkaimove.com/camaras/cam41.jpg,BI-637,014+500,Kurtzes,4798899.42,500454.06
88,CCTV 315 - Puente Artea,,BI-637,015+300,Kukularra,4799388.61,500465.05
89,CCTV 316 - Báscula bombeo,http://www.bizkaimove.com/camaras/cam42.jpg,BI-637,016+400,Kukularra,4800423.97,499980.63
90,CCTV 401 - Bajada de Enekuri,http://www.bizkaimove.com/camaras/cam50.jpg,BI-604,003+850,Asua,4791682.4,503640.1
91,CCTV 402 - Bajada de Enekuri,,BI-604,004+030,Bilbao,4791874.47,503539.63
92,CCTV 403 - Chatarrería,,BI-604,004+580,Bilbao,4792381.24,503385.38
93,CCTV 404 - Alto Enekuri,,BI-604,005+220,Bilbao,4792929.07,503148.22
94,CCTV 405 - Subida Enekuri (dir. Túnel),,BI-604,006+100,Asua,4793520.52,503767.77
95,Cctv 406 - DOMO Enekuri,http://www.bizkaimove.com/camaras/cam51.jpg,BI-604,005+500,Bilbao,4793286.29,503295.78
96,DOMO 603 - Alto de Kastrejana,,BI-636,004+700,Bilbao,4790648.8,502330.7
97,CCTV 604,,BI-636,008+700,Bilbao,4787576.16,500759.85
98,CCTV 605,,BI-636,010+100,Balmaseda,4786924.15,499431.38
99,CCTV 606,http://www.bizkaimove.com/camaras/cam80.jpg,BI-636,012+070,Bilbao,4785390.78,498396.97
100,CCTV 607,,BI-636,,Balmaseda,4783752.0,496556.29
101,CCTV 609,http://www.bizkaimove.com/camaras/cam81.jpg,BI-636,016+730,Balmaseda,4782306.66,496127.36
102,CCTV 612,http://www.bizkaimove.com/camaras/cam82.jpg,BI-636,018+750,Balmaseda,4782221.36,494536.38
103,CCTV 613,,BI-636,019+800,Balmaseda,4782787.67,493816.34
104,CCTV 614,http://www.bizkaimove.com/camaras/cam83.jpg,BI-636,022+000,Balmaseda,4784024.32,491757.19
105,CCTV 701 - Salida a Miraflores,,BI-631,000+800,A8,4788359.37,506257.99
106,CCTV 702 - Miraflores,http://www.bizkaimove.com/camaras/cam60.jpg,BI-631,001+300,Bermeo,4788073.12,506544.1
107,CCTV 703 - Rotonda de Ibarsusi,http://www.bizkaimove.com/camaras/cam61.jpg,BI-631,003+000,Bermeo,4788694.72,508021.55
108,CCTV 704 - Txurdinaga,,BI-631,003+800,A8,4789141.66,508258.28
109,CCTV 705,,BI-631,004+800,Bermeo,4789876.24,508410.46
110,CCTV 706 - Alto Sto. Domingo,,BI-631,005+640,A8,4790228.99,507791.6
111,CCTV 707,http://www.bizkaimove.com/camaras/cam62.jpg,BI-631,006+580,A8,4790796.14,507597.24
112,CCTV 708,,BI-631,008+050,A8,4791892.75,508134.6
113,CCTV 709 - Viaducto de Derio,,BI-631,009+000,A8,4792497.42,508829.49
114,CCTV 710 - Derio,,BI-631,010+210,A8,4793072.72,509672.43
115,CCTV 711 - Junto a la Gasolinera,http://www.bizkaimove.com/camaras/cam59.jpg,BI-631,007+200,A8,4791154.41,507807.66
116,CCTV 712 - Salida Begoña,,BI-631,006+000,A8,4790200.14,507519.43
117,CCTV 713,,BI-631,006+200,A8,4790415.67,507495.25
118,CCTV 801 - Aeropuerto I,,BI-633,012+000,BI-631,4794910.42,509728.68
119,CCTV 802 - Aeropuerto II,http://www.bizkaimove.com/camaras/cam33.jpg,BI-633,013+650,Aeropuerto,4794998.65,508358.61
120,SLO_DOM_002D (ERMCME017) PK 75+100,,AP-8,75+100,DONOSTIA,4780599.8,541291.45
121,SLO_DOM_001D (18) PK 75+500,http://www.bizkaimove.com/camaras/cam96.jpg?t=8760216,AP-8,75+500,DONOSTIA,4780642.32,540917.11
122,SLO_DOM_001A(19) PK 76+100,,AP-8,76+100,SANTANDER,4780555.96,540351.39
123,ZAL_DOM_001A (E2ECME014) PK 76+800,,AP-8,76+800,SANTANDER,4780339.8,539801.28
124,ERM_DOM_001A (67) PK 77+000,, ROTONDA,77+000,ROTONDA,4780510.27,539657.98
125,ERM_DOM_002D (66) PK 77+000,,AP-8,77+000,PEAJE,4780527.0,539582.0
126,ERM_DOM_002A (65) PK 77+000,,AP-8,77+000,SANTANDER,4780485.0,539404.0
127,ERM_DOM_001D (64) PK 77+400,,AP-8,77+400,DONOSTIA,4780362.74,539189.29
128,ZAL_DOM_002A (E2ECME013) PK 78+050,http://www.bizkaimove.com/camaras/cam95.jpg?t=8760215,AP-8,78+050,SANTANDER,4780596.98,538465.61
129,ZAL_DOM_002D (E2ECME015) PK 78+920,http://www.bizkaimove.com/camaras/cam94.jpg?t=8760215,AP-8,78+920,DONOSTIA,4779975.44,537877.31
130,ZAL_DOM_003A (E2NCME052) PK 78+520,,AP-8,78+520,SANTANDER,4780298.63,538127.92
